iter : 10011 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10012 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10013 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10014 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10015 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10016 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10017 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10018 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10019 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10020 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10021 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10022 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10023 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10024 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10025 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10026 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10027 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10028 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10029 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10030 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10031 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10032 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
iter : 10033 cost: 1038.0 path:[9, 12, 14, 13, 10, 11, 8, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5]
